Text,Label
ശബരിമല സ്‌പെഷ്യല്‍ ട്രെയ്‌നുകള്‍ക്ക് അധിക നിരക്ക് ഈടാക്കി ഇന്ത്യന്‍ റെയില്‍വെ.,1
ശബരിമല-പമ്പ റോഡിൽ പശുവിനെ പുലി പിടിക്കുന്നു.,0
ശബരിമലയില്‍ വീണ്ടും ആചാര ലംഘനം,0
കേരളത്തിലെ ശബരിമല സന്നിധാനത്തിൽ ലഭിക്കുന്ന പ്രധാന മധുര പ്രസാദമാണ് അരവണ പായസം. പായസം ഉണ്ടാക്കുന്നതിനുള്ള ടെണ്ടർ ഒരു മുസ്ലീമിനാണ് നൽകിയത്. അയാൾ പ്രസാദം ഹലാൽ ആണെന്ന് സാക്ഷ്യപ്പെടുത്തുന്നു. എന്തിനാണ് പ്രസാദം,0
409 വര്‍ഷം പഴക്കമുള്ള ശബരിമല ക്ഷേത്രത്തിന്റെ ചിത്രം. ഈ ചിത്രമെടുത്ത ശേഷമാണ് ബ്രിട്ടീഷ് ഈസ്റ്റ് ഇന്ത്യാ കമ്പനി അവരുടെ നാണയത്തില്‍ അയ്യപ്പന്റെ ചിത്രം ഉള്‍പ്പെടുത്തിയത്.,0
പ്രിയ വര്‍ഗീസിന്‍റെ കണ്ണൂര്‍ സര്‍വകലാശാലയിലെ നിയമനം തടഞ്ഞ കോടതി വിധിക്കെതിരെ പ്രിയ വര്‍ഗീസും കുടുംബവും പ്രതിഷേധിക്കുന്ന വീഡിയോ,0
കണ്ണൂർ എയർപോർട്ടിൽ വെച്ച് ഉണ്ടായ സംഭവമാണ് ഇത്. പോക്കറ്റിനുള്ളിൽ പവർ ബാങ്ക് വെച്ച് മൊബൈൽ ചാർജ് ചെയ്തതാണ്.,0
അമേരിക്കയില്‍ നടന്ന റിയാലിറ്റിഷോയില്‍ വിജയികളായ കണ്ണൂര്‍ പൊതുവാച്ചേരിയില്‍ നിന്നുള്ള ടീം,0
"പോലിസ് ഫ്രീ റൈഡ് സ്കീം ലോഞ്ച് ചെയ്തിരിക്കുന്നു. രാത്രികാലങ്ങളിൽ ഒറ്റയ്ക്കകപ്പെട്ടു പോവുന്ന സ്ത്രീകൾക്ക്, വീട്ടിൽ പോവാൻ വാഹനം ലഭ്യമില്ലാത്ത സാഹചര്യത്തിൽ രാത്രി 10 നും പുലർച്ച 6 മണിക്കും ഇടയിൽ, പോലീസ് ഹെൽപ്പ് ലൈൻ നമ്പർ 1091 & 7837018555 ൽ വിളിച്ച് വാഹനത്തിന് ആവശ്യപ്പെടാം. 24x7 സമയ...",0
കേരളത്തിലെ റെയില്‍വെ സ്‌റ്റേഷനിലേക്ക് വന്നിറങ്ങുന്ന ഇതരസംസ്ഥാന തൊഴിലാളികള്‍,1
മാസപ്പടി' വിവാദത്തില്‍ വാര്‍ത്ത നല്‍കരുതെന്ന് കേരള പത്രപ്രവര്‍ത്തക യൂണിയന്റെ നിര്‍ദ്ദേശം.,0
ഏക സിവില്‍ കോഡിനെതിരെ പ്രമേയം പാസാക്കുന്ന ആദ്യ സംസ്ഥാനമാണ് കേരളം.,1
റോഡ് വഴിയുള്ള ബാംഗ്ലൂർ-കേരള രാത്രി യാത്ര അപകടകരമാണ്.ബംഗളൂരു-മൈസൂർ എക്‌സ്‌പ്രസ്‌വേയിൽ കള്ളന്മാരും കൊള്ളക്കാരും വിഹരിക്കുന്നു.,0
വസ്തുതാപരിശോധന: ഇന്ത്യൻ പതാകയെ അനാദരിക്കുന്ന പാക്കിസ്ഥാനിൽ നിന്നുള്ള പഴയ വീഡിയോ തെറ്റായ അവകാശവാദത്തോടെ വൈറലാകുന്നു,0
കേരളത്തിലെ റോഡിന്റെ ശോച്യാവസ്ഥ.,0
കേരളത്തിലെ റോഡില്‍ അടുത്തിടെ രൂപപ്പെട്ട വലിയ കുഴി.,1
ജനിച്ചയുടനെ കരയാതിരുന്ന കുഞ്ഞിൻ്റെ ജീവൻ രക്ഷിക്കുന്ന വീഡിയോ കേരളത്തിൽ നിന്നുള്ളത്,0
കേരളത്തില്‍ നിന്ന് കാണാതായ ഈ കുട്ടിയെ തമിഴ്‌നാട്ടില്‍ കണ്ടെത്തി.,1
ഫോട്ടോയിൽ ഉള്ളത് കേരളത്തിൽ നിന്നും തട്ടി കൊണ്ട് പോയ കുട്ടി.,0
പൂഞ്ഞാറിലെ പഞ്ചായത്ത് ഉപതിരഞ്ഞെടുപ്പ് പിസി ജോർജ്ജിന്റെ പാർട്ടിയുടെ പരാജയത്തിൽ മനം നൊന്ത് പാർവതി ഷോൺ കേരളത്തിൽ ജീവിക്കാൻ കൊള്ളില്ലെന്ന് പറയുന്നു.,0
ദ കേരളാ സ്റ്റോറി സിനിമയുടെ റിലീസിന് ശേഷം മാവേലിക്കരയിൽ നടന്ന ദുർഗാവാഹിനി പഥസഞ്ചലൻ,0
ആർഎസ്എസ് പ്രവർത്തകയെ കേരളത്തിൽ മുസ്ലീങ്ങൾ കൊലപ്പെടുത്തുന്നു.,0
കേരള സ്‌റ്റോറിയിലെ നായിക ദേവൊലീന ഭട്ടാചാര്‍ജി മുസ്ലീം യുവാവിനൊപ്പം ഒളിച്ചോടി.,0
കേരളത്തിൽ ആർഎസ്എസ് പ്രവർത്തകയെ മുസ്ലിം മതവിശ്വാസികൾ വെടിവെച്ചു കൊല്ലുന്നതിൻ്റെ ദൃശ്യങ്ങൾ,0
കേരള ഓട്ടൊമൊബൈല്‍ ലിമിറ്റഡിന്റെ കീഴിലുള്ള ഇ-ഓട്ടോകള്‍ നിര്‍മ്മാണം അവസാനിപ്പിച്ചു.,0
കേരള സർവകലാശാലയിൽ ആദ്യമായി എബിവിപിക്ക് ജയം .,0
പ്ലാസ്റ്റിക് ക്യാരി ബാഗുകളുടെ നിരോധനം ഹൈക്കോടതി റദ്ദാക്കി,0
ആരാധനാലയങ്ങളില്‍ നിന്ന് വൈദ്യുതി നിരക്ക് ഈടാക്കുന്നതില്‍ വേര്‍തിരിവ്. മോസ്‌കുകള്‍ക്കും ക്രിസത്യന്‍ പള്ളികള്‍ക്കും നല്‍കേണ്ടി വരുന്ന തുകയേക്കാള്‍ കൂടുതല്‍ ക്ഷേത്രങ്ങള്‍ വൈദ്യുതി ചാര്‍ജായി നല്‍കേണ്ടിവരുന്നു.,0
കേരളത്തിലെ ബിജെപിയുടെ ഒരു സീറ്റ് പോലും നഷ്ടപ്പെടുത്താന്‍ സിപിഎമ്മിന് കഴിയില്ല.. വെല്ലുവിളിയുമായി കെ.സുരേന്ദ്രന്‍ എന്ന തലക്കെട്ട് നല്‍കിയ റിപ്പോര്‍ട്ടര്‍ ചാനല്‍ നല്‍കിയ വാര്‍ത്ത,0
ഇനി സ്ത്രീകള്‍ക്കും മല ചവിട്ടാം' എന്ന തലക്കെട്ടുള്ള ജന്മഭൂമി പത്രവുമായി ബിജെപി സംസ്ഥാന അധ്യാക്ഷന്‍ കെ.സുരേന്ദ്രന്‍.,0
തെരഞ്ഞെടുപ്പ് കഴിഞ്ഞാലും ഇന്ധനവില ഒരു രൂപ പോലും കൂടില്ല എന്ന് കെ.സുരേന്ദ്രന്‍,0
"ഞാൻ ജയിലിൽ പോയാൽ ആരും വിഷമിക്കരുത്,കെ സുരേന്ദ്രൻ",0
തന്നെ ജയിലിലടച്ചാൽ ആരും സങ്കടപ്പെടരുത് എനിക്ക് മുൻപും പല മഹാന്മാരും ജയിലിൽ കിടന്നിട്ടുണ്ട് കുഴൽപണ കവർച്ചാ കേസ് അറസ്റ്റ് അടുക്കുമ്പോൾ അടവ് മാറ്റി സുരേന്ദ്രൻ,0
കെ സുരേന്ദ്രന്‍റെ വ്യാജ ചിത്രം ഉപയോഗിച്ച് ഫേസ്‌ബുക്കിൽ പ്രചരണം,0
തൃശൂർ ചേലക്കരയിൽ ഒരു ക്ഷേത്രത്തിൽ നിന്ന് സിപിഎം ബ്രാഞ്ച് സെക്രട്ടി പണം മോഷ്ടിക്കുന്നു.,0
കമ്മ്യൂണിസ്റ്റ് പാർട്ടി ഓഫ് ഇന്ത്യ മാർക്സിസ്റ്റിന് ദേശീയ പാർട്ടി പദവി നഷ്ടമായി.,0
ബംഗാളിലെ മൂന്ന് സിപിഎം എംഎല്‍എമാര്‍ ബിജെപിയില്‍ ചേര്‍ന്നു,0
തൃക്കാക്കരയിൽ കള്ളവോട്ട് ചെയ്യുന്നതിനിടയിൽ സിപിഐഎം ഏരിയാ സെക്രട്ടറി പിടിയിൽ.,0
ബിജെപി പരിപാടിയില്‍ പങ്കെടുക്കുന്നതില്‍ പ്രശ്‌നമില്ലെന്ന് കെപിസിസി പ്രസിഡന്റ് കെ.സുധാകരന്‍ .,1
"കെപിസിസി അധ്യക്ഷൻ കെ സുധാകരൻ, ഹനുമാൻ സേനയുടെ സമ്മേളനത്തിന്‍റെ ഉദ്ഘാടകനായി പങ്കെടുക്കുന്നു",0
ഹനുമാൻ സേനയുടെ സമ്മേളനത്തിൽ കെ സുധാകരൻ പങ്കെടുക്കും,0
കെ.സുധാകരന്‍ എംപിക്കെതിരായ ഫേസ്ബുക്ക് പോസ്റ്റില്‍ ആര്‍ജെ സൂരജ് മാപ്പ് പറഞ്ഞു.,0
കഞ്ചാവുമായി പിടികൂടിയ എസ്എഫ്ഐ പ്രവര്‍ത്തകരെ വിട്ടുനല്‍കണമെന്ന് ആവശ്യപ്പെട്ട് സിപിഎം പ്രവര്‍ത്തകര്‍ പോലീസ് സ്റ്റേഷനില്‍ ഭീഷണി മുഴക്കുന്ന വീഡിയോ,0
ഇടുക്കി എന്‍ജിനീയറിങ് കോളജില്‍ കൊല്ലപ്പെട്ട എസ്എഫ്ഐ പ്രവര്‍ത്തകനായിരുന്ന ധീരജിന്‍റെ കുടുംബത്തിന് 1.58 കോടി രൂപയാണ് സിപിഎം ഇടുക്കി ജില്ലാ കമ്മിറ്റി സമാഹരിച്ചതെന്നും ഇതില്‍ നിന്നും 35 ലക്ഷം രൂപ മാത്രമാണ് ധീരജിന്‍റെ കുടുംബത്തിന് നല്‍കി,0
വയനാട് എംപി രാഹുൽ ഗാന്ധിയുടെ ഓഫീസിലേക്ക് അക്രമാസക്തമായി മാർച്ച് നടത്തിയ എസ്എഫ്ഐ പ്രവർത്തകർ നടത്തിയത് ഭീകരപ്രവർത്തനം ആണെന്ന് എൽഡിഎഫ് കൺവീനർ ഇപി ജയരാജൻ പറയുന്ന വീഡിയോ.,0
തൃശ്ശൂർ ജില്ലാ ആശുപത്രിയിലുണ്ടായ എസ്എഫ്ഐ-എഐഎസ്എഫ് സംഘർഷത്തിൻറെ വീഡിയോ,1
SFIക്കാർ കോളേജിൽ നടത്തിയ ചുംബനം.,0
കോളേജ് അടിച്ചുതകർക്കുന്ന എസ്എഫ്ഐ പ്രവർത്തകരുടെ വീഡിയോ,1
ഈ വീഡിയോയിലുള്ളത് കൊടിപിടിച്ചു നില്‍ക്കുന്ന എബിവിപി പ്രവര്‍ത്തകരോ?,0
గూగుల్ లో ఉన్న రెసిపీ ఫోటోని షేర్ చేసి తను తయారు చేసిన వంటగా కంగనా రనౌత్ ట్వీట్ చేసింది.,0
"ഹരിദാസിനെ കൊലപ്പെടുത്തിയ ആര്‍എസ്എസ് പ്രവര്‍ത്തകനെ പിടികൂടിയത് ഡിവൈഎഫ്ഐ അധ്യാപികയുടെ തന്ത്രത്തിലൂടെയെന്ന തലക്കെട്ടും, തന്ത്രത്തിലൂടെ സ്വന്തം വീട്ടില്‍ വിളിച്ചു വരുത്തി പോലീസിനെ അറിയിക്കുകയായിരുന്നു എന്നും സബ് ഹെഡ്ഡിങ് നല്‍കിയും ദേശാഭിമാനി രേഷ്മയെ കുറിച്ച് വാര്‍ത്ത",0
വാരിയം കുന്നനെ അറസ്റ്റ് ചെയ്തതായി മലയാള മനോരമ നല്‍കിയ വാര്‍ത്ത.,0
എകെജി സെന്‍ററിന് നേരെ ആക്രമണം നടത്തിയ കേസില്‍ രണ്ട് കോണ്‍ഗ്രസ് പ്രവര്‍ത്തകരെ പിടികൂടിയെന്ന് മനോരമ ന്യൂസിന്‍റെ സ്ക്രീന്‍ഷോട്ട്,0
"മനോരമ വാർത്ത പ്രകാരം, ""കമ്മ്യൂണിസ്റ്റ് പാര്‍ട്ടി വിഡ്ഢികളുടെ പാര്‍ട്ടി"" എന്ന് കനയ്യ പറഞ്ഞു.",0
"തള്ളിയിട്ട് 4 വര്‍ഷം, ഇപ്പോഴും നിപ വൈറസ് പരിശോധിക്കാന്‍ പൂനെയില്‍ ക്യൂ നില്‍ക്കണം'; സംഭവം എത്രത്തോളം ശരി?",0
ആലപ്പുഴയിലെ ഹോട്ടലില്‍ നിന്നും പട്ടിയിറച്ചി പിടികൂടി,0
സ്വാതന്ത്ര്യ ദിനാഘോഷത്തിന് വേണ്ടി സ്കൂളുകളില്‍ ആലപ്പുഴ MLA പണപ്പിരവ് നടത്തി. ഇതുമായി ബന്ധപ്പെട്ട് ഒരു പ്രധാനാധ്യാപിക സഹപ്രവർത്തകർക്ക് നൽകിയ കത്ത്.,0
"പോപ്പുലർ ഫ്രണ്ട് നടത്തുന്ന ""ജന മഹാസമ്മേളനം"" പരിപാടിക്കായി ആലപ്പുഴ ബീച്ചിൽ ഉയരുന്ന വേദിയുടെ വീഡിയോ.",1
ഇതാണ് തൊഴിലാളി സമരം കൊണ്ട് അടച്ചുപൂട്ടേണ്ടിവന്ന ആലപ്പി സ്പിന്നിംഗ് മില്‍,0
ആലപ്പുഴയിലെ എല്‍.ഡി.എഫ് സ്ഥാനാര്‍ഥി പി.പി.ചിത്തരഞ്ജനെതിരെ സി.പി.എം പ്രവര്‍ത്തകര്‍ പരസ്യ പ്രകടനം നടത്തുന്നു,1
എറണാകുളം എം .ജി റോഡിൽ നിന്നുള്ള ദൃശ്യം.,0
എല്‍.ഡി.എഫ് പരസ്യത്തില്‍ അഭിനയിപ്പിച്ച എറണാകുളം സ്വദേശിനി പാറു അമ്മയ്ക്ക് റേഷന്‍ ലഭിക്കുന്നില്ല,0
ഇടുക്കി എഞ്ചിനിയറിംഗ് കോളെജില്‍ കൊല്ലപ്പെട്ട എസ്എഫ്‌ഐ നേതാവ് ധീരജിന്റെ കുടുംബസഹായ നിധി വകമാറ്റി മുന്‍ സിപിഎം സംസ്ഥാന സെക്രട്ടറി കോടിയേരി ബാലകൃഷ്ണന്റെ മകന് പണം നല്‍കി.,0
കാസർഗോഡ് ജില്ലയ്ക്ക് 37 അധിക പ്ലസ് വൺ ബാച്ചുകൾ അനുവദിച്ച് സംസ്ഥാന സർക്കാർ.,1
സംസ്ഥാന സര്‍ക്കാരിന്റെ അനാസ്ഥ കൊണ്ട് കാസര്‍ഗോഡ് പെരിയയില്‍ നിര്‍മാണത്തിലിരിക്കുന്ന മേല്‍പ്പാലം തകര്‍ന്നു വീണു.,1
കാസർഗോഡ് കന്യാകുമാരി പത്തുവരി പാത നിർമിക്കുമെന്ന് മുഖ്യമന്ത്രി,0
"പുതുപ്പള്ളിയിലും, കൊല്ലത്തും കോൺഗ്രസ് സ്ഥാനാർത്ഥികൾക്കായി വൈകാരിക പ്രകടനം നടത്തിയത് ഒരേ സ്ത്രീകൾ",0
ആടിനെ വിറ്റ് മുഖ്യമന്ത്രിയുടെ ദുരിതാശ്വാസനിധിയിലേക്ക് പണമടച്ച കൊല്ലം സ്വദേശി സുബൈദയുടെ പുരയിടത്തിലും സിൽവർലൈനിന്റെ കല്ലിട്ടു,0
കോട്ടയം മുനിസിപ്പാലിറ്റിയില്‍ ബിജെപിയുമായി ചേര്‍ന്ന് ഭരിക്കാന്‍ തയാറാണെന്ന് പ്രതിപക്ഷനേതാവും സിപിഎം അംഗവുമായ ഷീജ അനില്‍ വ്യക്തമാക്കി.,0
ബിവറേജസ് ഔട്ട്‌ലെറ്റുകള്‍ തുറന്ന ആദ്യ ദിനത്തില്‍ പാലക്കാട് നിന്നുള്ള ചിത്രം,2
മാളികപ്പുറം സിനിമ കാണാന്‍ പത്തനംതിട്ടയിലെ ധന്യ രമ്യ തിയറ്ററിലെത്തിയ യുവതികളെ തടയുന്നു.,2
ജോയ് ആലുക്കാസ് ജ്വല്ലറിയും ഭീമ ജ്വല്ലറിയും ചേർന്ന് തിരുവനന്തപുരം പദ്മനാഭ സ്വാമി ക്ഷേത്രത്തിന് സമർപ്പിച്ച വജ്രവും സ്വർണവും ചേർത്തുള്ള അനന്തശയന വിഗ്രഹം,2
പ്രധാനമന്ത്രി നരേന്ദ്ര മോദിയുടെ ചിത്രം വെച്ച് തിരുവനന്തപുരം സര്‍ക്കാര്‍ എഞ്ചിനീയറിംഗ് കോളേജിലെ ടോപ്പര്‍മാരെ അഭിനന്ദനങ്ങള്‍ അര്‍പ്പിക്കുന്ന ബാനര്‍,0
തിരുവനന്തപുരത്ത് കൊല്ലമ്പുഴയില്‍ വിചിത്രമായ മൃഗങ്ങള്‍ ഇറങ്ങിയിട്ടുണ്ട് അതില്‍ ഒന്ന് കൊല്ലപ്പെട്ടു എന്ന തരത്തില്‍ ഒരു വീഡിയോ,0
"ഏപ്രിൽ 23 , 2022ന് താനും സുപ്രിയ സൂലെയും വിവാഹിതരാകുന്നു എന്ന വിവരം തിരുവനന്തപുരം എംപി ശശി തരൂർ ട്വിറ്ററിലൂടെ അറിയിച്ചു",0
തെരുവിൽ പാട്ട് പാടി ജീവിക്കുന്ന തിരുവനന്തപുരം സംഗീത കോളേജിലെ പൂർവ വിദ്യാർഥി. തെറ്റ്.,0
"തിരുവനന്തപുരം, കോവളത്ത് നൂറുകണക്കിന് സിപിഎമ്മുകാര്‍ പാര്‍ട്ടി വിട്ട് ബിജെപിയില്‍ ചേര്‍ന്നു.",1
തൃശ്ശൂർ ജില്ലാ ആശുപത്രിയിലുണ്ടായ എസ്എഫ്ഐ-എഐഎസ്എഫ് സംഘർഷത്തിൻറെ വീഡിയോ.,1
തൃശൂർ പൂരത്തിനു അനുമതി കൊടുക്കാത്ത സംസ്‌ഥാന സർക്കാർ മുസ്ലിം സമുദായത്തിന് ഇഫ്‌താർ വിരുന്ന് നടത്താൻ അനുമതി നൽകി,3
തിരൂരിൽ ആക്രമിക്കപ്പെട്ട വന്ദേ ഭാരത് എക്‌സ്പ്രസ്സിന്റെ പടം,3
പോപ്പുലര്‍ ഫ്രണ്ട് നിരോധിച്ചതിന് പിന്നാലെ അവരുടെ തിരൂര്‍ ഓഫിസ് സിപിഎം ഓഫിസാക്കി മാറ്റി. പോപ്പുലര്‍ ഫ്രണ്ടിന്റെ ഫേസ്ബുക്ക് പേജും സിപിഎം തിരൂര്‍ എന്നാക്കി.,2
മഹാരാഷ്‌ടയിൽ ദളിത് സ്ത്രീ ഹിന്ദു ക്ഷേത്രത്തിൽ കയറിയത് തല്ലി കൊല്ലുന്നു. ഇതാണ് സനാതന ധർമം,0
വിഷം കുത്തിവെക്കുന്നത് കയ്യോടെ പിടികൂടി .. 💉💉 പച്ചക്കറി വാങ്ങും മുന്നേ ഇതൊന്ന് കാണൂ ഭയാനകം,0
നിപ്പ മൂന്നാം ഘട്ടവും വന്നപ്പോഴാണ് ടീച്ചറമ്മ സ്ഥാപിച്ച വൈറോളജി ലാബ് വെറും മിത്തായിരുന്നു എന്ന് പ്രബുദ്ധർക്ക് മനസ്സിലായത്..🤔,0
ഏഷ്യാനെറ്റ് ന്യൂസ് ചാനലിലെ വാർത്താ അവതാരകനായ വിനു വി ജോണിന്‍റെ ട്വീറ്റ്,0
വിമാനത്തില്‍ മുഖ്യമന്ത്രിക്കെതിരെ പ്രതിഷേധിച്ച സംഭവത്തിലെ മൂന്നാം പ്രതി ഏഷ്യാനെറ്റ് ന്യൂസ് റിപ്പോര്‍ട്ടറുടെ ഭാര്യ സഹോദരനാണെന്ന് മാതൃഭൂമി ന്യൂസ് വാര്‍ത്ത,0
ചീഫ് സെക്രട്ടറിയുടെ ഗുജറാത്ത് സന്ദര്‍ശനം; ഏഷ്യാനെറ്റ് ന്യൂസ് ക്ഷമാപണം നടത്തിയെന്ന ന്യൂസ് കാര്‍ഡ്.,0
ഫ്രഷ് മാൻഡ്രേക് എഫെക്റ്റ്,0
"നമസ്തേ ആരുടെയെങ്കിലും അമ്മയോ സഹോദരിയോ അവരുടെ സ്വന്തം ഫോട്ടോയുടെ ഒരു ഡിപി വാട്‌സ്ആപ്പിൽ പോസ്റ്റ് ചെയ്തിട്ടുണ്ടെങ്കിൽ, അത് ഉടൻ മാറ്റാൻ അവരോട് ആവശ്യപ്പെടുക കാരണം നിങ്ങളുടെ വാട്ട്‌സ്ആപ്പ് നമ്പറും വിവരവുമുള്ള വാട്ട്‌സ്ആപ്പിൽ ഐസിസിൽ നിന്നും ചൈനയിൽ നിന്നുമുള്ള ഹാക്കർമാർ ഉണ്ട്. നിങ്ങളുട...",0
മാതൃകയായി- കേരള പോലീസ്.......,2
ശ്ശൊടാ_ദുരന്തൻ_ലോണ്ടേ_വീണ്ടും..! ഈ_വട്ടാവളിയനെ_പിടിച്ച്... പൊട്ടകിണറ്റിലിടാൻ_ഇവടാരുമില്ലേ..,0
സകല വെടക് ആളുകളും നന്നാവുന്ന മാസമാണ് റമദാൻ ഇത് എന്ത് ജന്മമാണ്,0
ശബരിമല പ്രക്ഷോഭത്തെ നേരിടുന്നതിനിടെ സമരക്കാരോട് ആക്രേശിക്കുന്ന മനോജ് എബ്രഹാം.,2
ശബരിമലയിലെ വഴിയോര ഹോട്ടലില്‍ ഭക്ഷണം കഴിക്കാനെത്തിയ മ്ലാവ്.,2
"സ്ത്രീകൾക്ക് പ്രവേശനമില്ലാത്ത സാണ്ടൂർ കുമാരസ്വാമി ക്ഷേത്രത്തിൽ ആയിരംവർഷം പഴക്കമുള്ള ആചാരം ലംഘിച്ച് സ്ത്രീകൾ പ്രവേശിച്ചിട്ടും, ശബരിമലയിൽ സമരം ചെയ്ത ബിജെപിക്ക് പ്രതിഷേധമില്ല.",1
കെഎസ്ആര്‍ടിസി ബസിലെ വനിതാ സീറ്റിലുള്ള സംവരണം യാത്ര ആരംഭിക്കുന്ന സ്റ്റേഷനില്‍ നിന്നുള്ളവര്‍ക്ക് മാത്രമാണ്.,0
കന്നിയാത്രയില്‍ തന്നെ അമിത വേഗത്തിലെത്തിലോടിച്ച് കെഎസ്ആര്‍ടിസി സ്വിഫ്റ്റ് ബസ് അപകടം സൃഷ്ടിച്ചു.,1
